Continent_Name,FR,IM,LE,LEF,LEM,MMR,RS
Africa,4.5636,52.51648076923077,60.83928846153846,62.66288461538461,59.02846153846154,441.1025884615384,2.358673076923077
Asia,2.6341302325581397,21.960418604651164,72.48544186046512,74.86209302325582,70.24720930232559,84.92276744186047,1.960906976744186
Oceania,3.40472,22.8754,71.02770000000001,73.077,69.071,81.92556,1.313
